insee_code,city_code,zip_code,label,latitude,longitude,department_name,department_number,region_name,region_geojson_name
25620,ville du pont,25650,ville du pont,46.999873398,6.498147193,doubs,25,bourgogne-franche-comté,Bourgogne-Franche-Comté
25624,villers grelot,25640,villers grelot,47.361512085,6.235167025,doubs,25,bourgogne-franche-comté,Bourgogne-Franche-Comté
25615,villars les blamont,25310,villars les blamont,47.368383721,6.871414913,doubs,25,bourgogne-franche-comté,Bourgogne-Franche-Comté
25619,les villedieu,25240,les villedieu,46.713906258,6.26583065,doubs,25,bourgogne-franche-comté,Bourgogne-Franche-Comté
25622,villers buzon,25170,villers buzon,47.228558434,5.852186748,doubs,25,bourgogne-franche-comté,Bourgogne-Franche-Comté
25625,villers la combe,25510,villers la combe,47.240809828,6.473842387,doubs,25,bourgogne-franche-comté,Bourgogne-Franche-Comté
25627,villers sous chalamont,25270,villers sous chalamont,46.901588322,6.045328224,doubs,25,bourgogne-franche-comté,Bourgogne-Franche-Comté
25632,voujeaucourt,25420,voujeaucourt,47.473552905,6.782505604,doubs,25,bourgogne-franche-comté,Bourgogne-Franche-Comté
02102,bouconville vauclair,02860,bouconville vauclair,49.460193485,3.756684634,aisne,02,hauts-de-france,Hauts-de-France
02105,bouresches,02400,bouresches,49.067056293,3.316703204,aisne,02,hauts-de-france,Hauts-de-France
02124,brissy hamegicourt,02240,brissy hamegicourt,49.742857871,3.399923608,aisne,02,hauts-de-france,Hauts-de-France
02125,brumetz,02810,brumetz,49.110351585,3.153350725,aisne,02,hauts-de-france,Hauts-de-France
02126,brunehamel,02360,brunehamel,49.771382057,4.186261479,aisne,02,hauts-de-france,Hauts-de-France
02131,bucy le long,02880,bucy le long,49.387973822,3.398519722,aisne,02,hauts-de-france,Hauts-de-France
02139,caillouel crepigny,02300,caillouel crepigny,49.617755672,3.121707969,aisne,02,hauts-de-france,Hauts-de-France
02140,camelin,02300,camelin,49.52049848,3.127624347,aisne,02,hauts-de-france,Hauts-de-France
02150,cerny en laonnois,02860,cerny en laonnois,49.450196586,3.679121433,aisne,02,hauts-de-france,Hauts-de-France
02157,chambry,02000,chambry,49.598625529,3.671806573,aisne,02,hauts-de-france,Hauts-de-France
02160,chaourse,02340,chaourse,49.70058224,3.985961293,aisne,02,hauts-de-france,Hauts-de-France
02165,charmes,02800,charmes,49.650915124,3.384799677,aisne,02,hauts-de-france,Hauts-de-France
02172,chaudun,02200,chaudun,49.315257363,3.252722944,aisne,02,hauts-de-france,Hauts-de-France
02173,chauny,02300,chauny,49.619538899,3.219139283,aisne,02,hauts-de-france,Hauts-de-France
02185,chezy en orxois,02810,chezy en orxois,49.126870891,3.168015889,aisne,02,hauts-de-france,Hauts-de-France
02191,chivy les etouvelles,02000,chivy les etouvelles,49.532848303,3.585053697,aisne,02,hauts-de-france,Hauts-de-France
02195,ciry salsogne,02220,ciry salsogne,49.367262408,3.467612315,aisne,02,hauts-de-france,Hauts-de-France
02199,clastres,02440,clastres,49.749158544,3.230539083,aisne,02,hauts-de-france,Hauts-de-France
02501,montchalons,02860,montchalons,49.513778836,3.727459479,aisne,02,hauts-de-france,Hauts-de-France
02508,monthenault,02860,monthenault,49.489769799,3.655508134,aisne,02,hauts-de-france,Hauts-de-France
02512,montigny l allier,02810,montigny l allier,49.122370638,3.107996308,aisne,02,hauts-de-france,Hauts-de-France
02514,montigny lengrain,02290,montigny lengrain,49.372578828,3.099063795,aisne,02,hauts-de-france,Hauts-de-France
02520,mont notre dame,02220,mont notre dame,49.292397628,3.582216807,aisne,02,hauts-de-france,Hauts-de-France
02522,mont st jean,02360,mont st jean,49.792702607,4.210227315,aisne,02,hauts-de-france,Hauts-de-France
02533,muret et crouttes,02210,muret et crouttes,49.278626123,3.434628893,aisne,02,hauts-de-france,Hauts-de-France
